ectoplasme,oeil,26,
ectoplasme,pied,26,
ectoplasme,tête,31,
ectoplasme,visage,26,
ectoplasme,yeux,26,
ectoplasme,bras,26,
ectoplasme,sexe,34,
ectoplasme,squelette,10,
ectoplasme,adn,6,
ectoplasme,acide désoxyribonucléique,9,
connaissance,recherche,30,
recherche,laboratoire,60,
sciences,recherche,58,
recherche,jambe,-5,
recherche,note,-5,
labo,recherche,10,
laboratoire,recherche,10,
CNRS,recherche,9,
recherche,thèse,11,
recherche,séquençage du génome humain,12,
université,recherche,32,
clavier,espace,60,
voie lactée,espace,59,
univers,espace,60,
espace,pelouse,2,
clairière,espace,52,
ciel,espace,5,
espace,planète,14,
espace,trou noir,10,
espace,météorite,10,
espace,orbite,10,
espace,Jupiter,10,
espace,comète,10,
espace,mars,10,
espace,galaxie,10,
espace,cosmos,10,
espace,soleil,10,
espace,voie lactée,19,
espace,étoile,9,
espace,Proxima Centauri,10,
espace,naine jaune,11,
Voie lactée,espace,59,
espace,Voie lactée,32,
espace,lieu,9,
malvacées,sida,32,
sida,acide nucléique,26,
sida,ribosome,-25,
vivant,cellule,70,
vivant,cerveau,60,
vivant,corps,5,
vivant,jambe,10,
vivant,peau,7,
vivant,pattes,2,
vivant,bras,1,
vivant,nez,1,
vivant,crâne,-10,
vivant,coussinet,5,
vivant,acacia,10,
vivant,personne,30,
vivant,barman,16,
vivant,forçat,21,
vivant,parachutiste,21,
vivant,proviseur,34,
vivant,Corinne Lepage,26,
vivant,Jean De Lattre de Tassigny,24,
vivant,sculptrice,21,
vivant,Isabelle Huppert,31,
vivant,philosophe allemand,27,
vivant,ADN,41,
vivant,bouche,34,
vivant,coeur,32,
vivant,cou,27,
vivant,jambes,39,
vivant,main,42,
vivant,oeil,30,
vivant,pied,39,
vivant,tête,31,
vivant,visage,35,
vivant,yeux,27,
vivant,espèce,14,
vivant,sexe,28,
vivant,squelette,11,
vivant,adn,6,
vivant,acide désoxyribonucléique,9,
vivant,=cell=,6,
vivant,=acacia=,5,
vivant,=barman=,10,
vivant,cell,9,
vivant,neck,1,
hétérozygote,bras,32,
hétérozygote,main,27,
hétérozygote,ADN,29,
hétérozygote,bouche,34,
hétérozygote,coeur,30,
hétérozygote,corps,30,
hétérozygote,cou,41,
hétérozygote,jambe,30,
hétérozygote,jambes,30,
