term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
homme,15,éléphant,15,nature,donc,homme,15,nature
cornac,15,éléphant,15,nature,donc,cornac,15,nature
personne,15,éléphant,15,nature,donc,personne,15,nature
queue,15,éléphant,15,nature,donc,queue,15,nature
trompe,15,éléphant,15,clown,donc,trompe,15,clown
"pattes d'éléphant",15,éléphant,15,clown,donc,"pattes d'éléphant",15,clown
soldat,15,éléphant,15,clown,donc,soldat,15,clown
homme,15,éléphant,15,clown,donc,homme,15,clown
cornac,15,éléphant,15,clown,donc,cornac,15,clown
personne,15,éléphant,15,clown,donc,personne,15,clown
queue,15,éléphant,15,clown,donc,queue,15,clown
trompe,15,éléphant,15,Éthiopie,donc,trompe,15,Éthiopie
"pattes d'éléphant",15,éléphant,15,Éthiopie,donc,"pattes d'éléphant",15,Éthiopie
soldat,15,éléphant,15,Éthiopie,donc,soldat,15,Éthiopie
homme,15,éléphant,15,Éthiopie,donc,homme,15,Éthiopie
cornac,15,éléphant,15,Éthiopie,donc,cornac,15,Éthiopie
personne,15,éléphant,15,Éthiopie,donc,personne,15,Éthiopie
queue,15,éléphant,15,Éthiopie,donc,queue,15,Éthiopie
trompe,15,éléphant,15,"Afrique du sud",donc,trompe,15,"Afrique du sud"
"pattes d'éléphant",15,éléphant,15,"Afrique du sud",donc,"pattes d'éléphant",15,"Afrique du sud"
soldat,15,éléphant,15,"Afrique du sud",donc,soldat,15,"Afrique du sud"
homme,15,éléphant,15,"Afrique du sud",donc,homme,15,"Afrique du sud"
cornac,15,éléphant,15,"Afrique du sud",donc,cornac,15,"Afrique du sud"
personne,15,éléphant,15,"Afrique du sud",donc,personne,15,"Afrique du sud"
queue,15,éléphant,15,"Afrique du sud",donc,queue,15,"Afrique du sud"
trompe,15,éléphant,15,Namibie,donc,trompe,15,Namibie
"pattes d'éléphant",15,éléphant,15,Namibie,donc,"pattes d'éléphant",15,Namibie
soldat,15,éléphant,15,Namibie,donc,soldat,15,Namibie
homme,15,éléphant,15,Namibie,donc,homme,15,Namibie
cornac,15,éléphant,15,Namibie,donc,cornac,15,Namibie
personne,15,éléphant,15,Namibie,donc,personne,15,Namibie
queue,15,éléphant,15,Namibie,donc,queue,15,Namibie
trompe,15,éléphant,15,"Afrique du Sud",donc,trompe,15,"Afrique du Sud"
"pattes d'éléphant",15,éléphant,15,"Afrique du Sud",donc,"pattes d'éléphant",15,"Afrique du Sud"
soldat,15,éléphant,15,"Afrique du Sud",donc,soldat,15,"Afrique du Sud"
homme,15,éléphant,15,"Afrique du Sud",donc,homme,15,"Afrique du Sud"
cornac,15,éléphant,15,"Afrique du Sud",donc,cornac,15,"Afrique du Sud"
personne,15,éléphant,15,"Afrique du Sud",donc,personne,15,"Afrique du Sud"
queue,15,éléphant,15,"Afrique du Sud",donc,queue,15,"Afrique du Sud"
trompe,15,éléphant,15,"afrique du sud",donc,trompe,15,"afrique du sud"
"pattes d'éléphant",15,éléphant,15,"afrique du sud",donc,"pattes d'éléphant",15,"afrique du sud"
