term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
observatoire,42,astronomie,42,"voie lactée",donc,observatoire,42,"voie lactée"
télescope,42,astronomie,42,"voie lactée",donc,télescope,42,"voie lactée"
astronome,42,Astronomie,42,"voie lactée",donc,astronome,42,"voie lactée"
astronome,42,astronomie,42,"voie lactée",donc,astronome,42,"voie lactée"
télescope,42,Astronomie,42,"voie lactée",donc,télescope,42,"voie lactée"
télescope,42,astronomie,42,"voie lactée",donc,télescope,42,"voie lactée"
astronome,42,Astronomie,42,"voie lactée",donc,astronome,42,"voie lactée"
astronaute,42,Astronomie,42,"voie lactée",donc,astronaute,42,"voie lactée"
observatoire,42,Astronomie,42,"voie lactée",donc,observatoire,42,"voie lactée"
télescope,42,Astronomie,42,"voie lactée",donc,télescope,42,"voie lactée"
"saison estivale",42,Astronomie,42,"voie lactée",donc,"saison estivale",42,"voie lactée"
fusée,42,Astronomie,42,"voie lactée",donc,fusée,42,"voie lactée"
fusée,42,astronomie,42,étoiles,donc,fusée,42,étoiles
"saison estivale",42,astronomie,42,étoiles,donc,"saison estivale",42,étoiles
astronome,42,astronomie,42,étoiles,donc,astronome,42,étoiles
astronaute,42,astronomie,42,étoiles,donc,astronaute,42,étoiles
observatoire,42,astronomie,42,étoiles,donc,observatoire,42,étoiles
télescope,42,astronomie,42,étoiles,donc,télescope,42,étoiles
astronome,42,Astronomie,42,étoiles,donc,astronome,42,étoiles
astronome,42,astronomie,42,étoiles,donc,astronome,42,étoiles
télescope,42,Astronomie,42,étoiles,donc,télescope,42,étoiles
télescope,42,astronomie,42,étoiles,donc,télescope,42,étoiles
astronome,42,Astronomie,42,étoiles,donc,astronome,42,étoiles
astronaute,42,Astronomie,42,étoiles,donc,astronaute,42,étoiles
observatoire,42,Astronomie,42,étoiles,donc,observatoire,42,étoiles
télescope,42,Astronomie,42,étoiles,donc,télescope,42,étoiles
"saison estivale",42,Astronomie,42,étoiles,donc,"saison estivale",42,étoiles
fusée,42,Astronomie,42,étoiles,donc,fusée,42,étoiles
fusée,42,astronomie,42,univers,donc,fusée,42,univers
"saison estivale",42,astronomie,42,univers,donc,"saison estivale",42,univers
astronome,42,astronomie,42,univers,donc,astronome,42,univers
astronaute,42,astronomie,42,univers,donc,astronaute,42,univers
observatoire,42,astronomie,42,univers,donc,observatoire,42,univers
télescope,42,astronomie,42,univers,donc,télescope,42,univers
astronome,42,Astronomie,42,univers,donc,astronome,42,univers
astronome,42,astronomie,42,univers,donc,astronome,42,univers
télescope,42,Astronomie,42,univers,donc,télescope,42,univers
télescope,42,astronomie,42,univers,donc,télescope,42,univers
astronome,42,Astronomie,42,univers,donc,astronome,42,univers
astronaute,42,Astronomie,42,univers,donc,astronaute,42,univers
observatoire,42,Astronomie,42,univers,donc,observatoire,42,univers
télescope,42,Astronomie,42,univers,donc,télescope,42,univers
"saison estivale",42,Astronomie,42,univers,donc,"saison estivale",42,univers
fusée,42,Astronomie,42,univers,donc,fusée,42,univers
fusée,42,astronomie,42,étoile,donc,fusée,42,étoile
"saison estivale",42,astronomie,42,étoile,donc,"saison estivale",42,étoile
astronome,42,astronomie,42,étoile,donc,astronome,42,étoile
astronaute,42,astronomie,42,étoile,donc,astronaute,42,étoile
observatoire,42,astronomie,42,étoile,donc,observatoire,42,étoile
télescope,42,astronomie,42,étoile,donc,télescope,42,étoile
astronome,42,Astronomie,42,étoile,donc,astronome,42,étoile
astronome,42,astronomie,42,étoile,donc,astronome,42,étoile
télescope,42,Astronomie,42,étoile,donc,télescope,42,étoile
télescope,42,astronomie,42,étoile,donc,télescope,42,étoile
astronome,42,Astronomie,42,étoile,donc,astronome,42,étoile
astronaute,42,Astronomie,42,étoile,donc,astronaute,42,étoile
observatoire,42,Astronomie,42,étoile,donc,observatoire,42,étoile
télescope,42,Astronomie,42,étoile,donc,télescope,42,étoile
"saison estivale",42,Astronomie,42,étoile,donc,"saison estivale",42,étoile
fusée,42,Astronomie,42,étoile,donc,fusée,42,étoile
fusée,42,astronomie,42,"Edwin Powell Hubble",donc,fusée,42,"Edwin Powell Hubble"
"saison estivale",42,astronomie,42,"Edwin Powell Hubble",donc,"saison estivale",42,"Edwin Powell Hubble"
astronome,42,astronomie,42,"Edwin Powell Hubble",donc,astronome,42,"Edwin Powell Hubble"
astronaute,42,astronomie,42,"Edwin Powell Hubble",donc,astronaute,42,"Edwin Powell Hubble"
observatoire,42,astronomie,42,"Edwin Powell Hubble",donc,observatoire,42,"Edwin Powell Hubble"
télescope,42,astronomie,42,"Edwin Powell Hubble",donc,télescope,42,"Edwin Powell Hubble"
astronome,42,Astronomie,42,"Edwin Powell Hubble",donc,astronome,42,"Edwin Powell Hubble"
astronome,42,astronomie,42,"Edwin Powell Hubble",donc,astronome,42,"Edwin Powell Hubble"
télescope,42,Astronomie,42,"Edwin Powell Hubble",donc,télescope,42,"Edwin Powell Hubble"
télescope,42,astronomie,42,"Edwin Powell Hubble",donc,télescope,42,"Edwin Powell Hubble"
astronome,42,Astronomie,42,"Edwin Powell Hubble",donc,astronome,42,"Edwin Powell Hubble"
astronaute,42,Astronomie,42,"Edwin Powell Hubble",donc,astronaute,42,"Edwin Powell Hubble"
observatoire,42,Astronomie,42,"Edwin Powell Hubble",donc,observatoire,42,"Edwin Powell Hubble"
télescope,42,Astronomie,42,"Edwin Powell Hubble",donc,télescope,42,"Edwin Powell Hubble"
"saison estivale",42,Astronomie,42,"Edwin Powell Hubble",donc,"saison estivale",42,"Edwin Powell Hubble"
fusée,42,Astronomie,42,"Edwin Powell Hubble",donc,fusée,42,"Edwin Powell Hubble"
fusée,42,astronomie,42,"Voie lactée",donc,fusée,42,"Voie lactée"
"saison estivale",42,astronomie,42,"Voie lactée",donc,"saison estivale",42,"Voie lactée"
astronome,42,astronomie,42,"Voie lactée",donc,astronome,42,"Voie lactée"
astronaute,42,astronomie,42,"Voie lactée",donc,astronaute,42,"Voie lactée"
observatoire,42,astronomie,42,"Voie lactée",donc,observatoire,42,"Voie lactée"
télescope,42,astronomie,42,"Voie lactée",donc,télescope,42,"Voie lactée"
astronome,42,Astronomie,42,"Voie lactée",donc,astronome,42,"Voie lactée"
astronome,42,astronomie,42,"Voie lactée",donc,astronome,42,"Voie lactée"
télescope,42,Astronomie,42,"Voie lactée",donc,télescope,42,"Voie lactée"
télescope,42,astronomie,42,"Voie lactée",donc,télescope,42,"Voie lactée"
astronome,42,Astronomie,42,"Voie lactée",donc,astronome,42,"Voie lactée"
astronaute,42,Astronomie,42,"Voie lactée",donc,astronaute,42,"Voie lactée"
observatoire,42,Astronomie,42,"Voie lactée",donc,observatoire,42,"Voie lactée"
télescope,42,Astronomie,42,"Voie lactée",donc,télescope,42,"Voie lactée"
"saison estivale",42,Astronomie,42,"Voie lactée",donc,"saison estivale",42,"Voie lactée"
fusée,42,Astronomie,42,"Voie lactée",donc,fusée,42,"Voie lactée"
"théorie du genre",42,biologie,42,cellule,donc,"théorie du genre",42,cellule
libido,42,biologie,42,cellule,donc,libido,42,cellule
femme,42,biologie,42,cellule,donc,femme,42,cellule
mains,42,biologie,42,cellule,donc,mains,42,cellule
=libido=,42,biologie,42,cellule,donc,=libido=,42,cellule
"théorie du genre",42,biologie,42,science,donc,"théorie du genre",42,science
libido,42,biologie,42,science,donc,libido,42,science
femme,42,biologie,42,science,donc,femme,42,science
mains,42,biologie,42,science,donc,mains,42,science
=libido=,42,biologie,42,science,donc,=libido=,42,science
"théorie du genre",42,biologie,42,vivant,donc,"théorie du genre",42,vivant
libido,42,biologie,42,vivant,donc,libido,42,vivant
femme,42,biologie,42,vivant,donc,femme,42,vivant
mains,42,biologie,42,vivant,donc,mains,42,vivant
=libido=,42,biologie,42,vivant,donc,=libido=,42,vivant
"théorie du genre",42,biologie,42,vie,donc,"théorie du genre",42,vie
libido,42,biologie,42,vie,donc,libido,42,vie
femme,42,biologie,42,vie,donc,femme,42,vie
mains,42,biologie,42,vie,donc,mains,42,vie
=libido=,42,biologie,42,vie,donc,=libido=,42,vie
"théorie du genre",42,biologie,42,observer,donc,"théorie du genre",42,observer
libido,42,biologie,42,observer,donc,libido,42,observer
femme,42,biologie,42,observer,donc,femme,42,observer
mains,42,biologie,42,observer,donc,mains,42,observer
=libido=,42,biologie,42,observer,donc,=libido=,42,observer
"théorie du genre",42,biologie,42,étude,donc,"théorie du genre",42,étude
libido,42,biologie,42,étude,donc,libido,42,étude
femme,42,biologie,42,étude,donc,femme,42,étude
mains,42,biologie,42,étude,donc,mains,42,étude
=libido=,42,biologie,42,étude,donc,=libido=,42,étude
"théorie du genre",42,biologie,42,recherche,donc,"théorie du genre",42,recherche
libido,42,biologie,42,recherche,donc,libido,42,recherche
femme,42,biologie,42,recherche,donc,femme,42,recherche
mains,42,biologie,42,recherche,donc,mains,42,recherche
=libido=,42,biologie,42,recherche,donc,=libido=,42,recherche
"théorie du genre",42,biologie,42,curiosité,donc,"théorie du genre",42,curiosité
libido,42,biologie,42,curiosité,donc,libido,42,curiosité
femme,42,biologie,42,curiosité,donc,femme,42,curiosité
mains,42,biologie,42,curiosité,donc,mains,42,curiosité
=libido=,42,biologie,42,curiosité,donc,=libido=,42,curiosité
"théorie du genre",42,biologie,42,Science,donc,"théorie du genre",42,Science
libido,42,biologie,42,Science,donc,libido,42,Science
femme,42,biologie,42,Science,donc,femme,42,Science
mains,42,biologie,42,Science,donc,mains,42,Science
=libido=,42,biologie,42,Science,donc,=libido=,42,Science
"théorie du genre",42,biologie,42,=science=,donc,"théorie du genre",42,=science=
libido,42,biologie,42,=science=,donc,libido,42,=science=
femme,42,biologie,42,=science=,donc,femme,42,=science=
mains,42,biologie,42,=science=,donc,mains,42,=science=
=libido=,42,biologie,42,=science=,donc,=libido=,42,=science=
démocratie,42,révolution,42,insurrection,donc,démocratie,42,insurrection
changement,42,révolution,42,insurrection,donc,changement,42,insurrection
"prisonnier politique",42,révolution,42,insurrection,donc,"prisonnier politique",42,insurrection
"acte de violence",42,révolution,42,insurrection,donc,"acte de violence",42,insurrection
chambardement,42,révolution,42,insurrection,donc,chambardement,42,insurrection
"saison estivale",42,révolution,42,insurrection,donc,"saison estivale",42,insurrection
"crise humanitaire",42,révolution,42,insurrection,donc,"crise humanitaire",42,insurrection
délivrance,42,révolution,42,insurrection,donc,délivrance,42,insurrection
abolition,42,révolution,42,insurrection,donc,abolition,42,insurrection
"nouvelle politique économique",42,révolution,42,insurrection,donc,"nouvelle politique économique",42,insurrection
NEP,42,révolution,42,insurrection,donc,NEP,42,insurrection
"Nouvelle politique économique",42,révolution,42,insurrection,donc,"Nouvelle politique économique",42,insurrection
"faire jour",42,révolution,42,insurrection,donc,"faire jour",42,insurrection
"faire nuit",42,révolution,42,insurrection,donc,"faire nuit",42,insurrection
printemps,42,révolution,42,insurrection,donc,printemps,42,insurrection
démocratie,42,révolution,42,tension,donc,démocratie,42,tension
changement,42,révolution,42,tension,donc,changement,42,tension
"prisonnier politique",42,révolution,42,tension,donc,"prisonnier politique",42,tension
"acte de violence",42,révolution,42,tension,donc,"acte de violence",42,tension
